$Name,$Type,Mode
color/blue/0,color,#000000
color/blue/10,color,#051C2D
color/blue/100,color,#FFFFFF
color/blue/20,color,#132A59
color/blue/30,color,1D428A
color/blue/40,color,#0064FF
color/blue/50,color,#1A81FF
color/blue/60,color,#4D9DFF
color/blue/70,color,#66ABFF
color/blue/80,color,#99C7FF
color/blue/90,color,#CCE3FF
color/blue/95,color,#E5F1FF
color/blue/99,color,#F5F9FF
color/green/0,color,#000000
color/green/10,color,#103514
color/green/100,color,#FFFFFF
color/green/20,color,#206A28
color/green/30,color,#317E44
color/green/40,color,#3B8A4A
color/green/50,color,#45A057
color/green/60,color,#4FB664
color/green/70,color,#30D158
color/green/80,color,#64D879
color/green/90,color,#97E09B
color/green/95,color,#CBE8BD
color/green/99,color,#F0F2DE
color/grey/0,color,#000000
color/grey/10,color,#191C23
color/grey/100,color,#FFFFFF
color/grey/20,color,#2B2F37
color/grey/30,color,#3C414A
color/grey/40,color,#4E525C
color/grey/50,color,#838A96
color/grey/60,color,#A4A7AD
color/grey/70,color,#BFC2C6
color/grey/80,color,#DADDDE
color/grey/90,color,#E7E9EA
color/grey/95,color,#F3F4F5
color/grey/99,color,#F9FAFA
color/orange/0,color,#000000
color/orange/10,color,#1F0D02
color/orange/100,color,#FFFFFF
color/orange/20,color,#3A1805
color/orange/30,color,#5A2508
color/orange/40,color,#7A340B
color/orange/50,color,#9A450F
color/orange/60,color,#BB5814
color/orange/70,color,#E66E1A
color/orange/80,color,#F18F45
color/orange/90,color,#F6B679
color/orange/95,color,#FAD5A6
color/orange/99,color,#FEF2E6
color/red/0,color,#000000
color/red/10,color,#410E0B
color/red/100,color,#FFFFFF
color/red/20,color,#601410
color/red/30,color,#8C1D18
color/red/40,color,#B3261E
color/red/50,color,#DC362E
color/red/60,color,#FE6F67
color/red/70,color,#EC928E
color/red/80,color,#F2B8B5
color/red/90,color,#F9DEDC
color/red/95,color,#FCEEEE
color/red/99,color,#FFFBF9
color/t-black/0,color,#00000000
color/t-black/10,color,#0000001A
color/t-black/15,color,#00000026
color/t-black/20,color,#00000033
color/t-black/25,color,#00000040
color/t-black/30,color,#0000004D
color/t-black/40,color,#00000066
color/t-black/5,color,#0000000D
color/t-black/50,color,#00000080
color/t-black/60,color,#00000099
color/t-black/70,color,#000000B2
color/t-black/75,color,#000000BF
color/t-black/80,color,#000000CC
color/t-black/85,color,#000000D9
color/t-black/90,color,#000000E5
color/t-black/95,color,#000000F2
color/t-white/0,color,#FFFFFF00
color/t-white/10,color,#FFFFFF1A
color/t-white/15,color,#FFFFFF26
color/t-white/20,color,#FFFFFF33
color/t-white/25,color,#FFFFFF40
color/t-white/30,color,#FFFFFF4D
color/t-white/40,color,#FFFFFF66
color/t-white/5,color,#FFFFFF0D
color/t-white/50,color,#FFFFFF80
color/t-white/60,color,#FFFFFF99
color/t-white/70,color,#FFFFFFB2
color/t-white/75,color,#FFFFFFBF
color/t-white/80,color,#FFFFFFCC
color/t-white/85,color,#FFFFFFD9
color/t-white/90,color,#FFFFFFE5
color/t-white/95,color,#FFFFFFF2
color/yellow/0,color,#000000
color/yellow/10,color,#281E01
color/yellow/100,color,#FFFFFF
color/yellow/20,color,#644B02
color/yellow/30,color,#967103
color/yellow/40,color,#E1AA05
color/yellow/50,color,#F1BE27
color/yellow/60,color,#FBCD44
color/yellow/70,color,#FCD769
color/yellow/80,color,#FCDE82
color/yellow/90,color,#FEF2CD
color/yellow/95,color,#FEF9E6
color/yellow/99,color,#FFFEFA
pixels/0,float,0
pixels/1,float,1
pixels/2,float,2
pixels/4,float,4
pixels/8,float,8
pixels/12,float,12
pixels/14,float,14
pixels/16,float,16
pixels/18,float,18
pixels/20,float,20
pixels/24,float,24
pixels/32,float,32
pixels/40,float,40
pixels/48,float,48
pixels/56,float,56
pixels/64,float,64
pixels/72,float,72
pixels/80,float,80
pixels/88,float,88
pixels/96,float,96
pixels/104,float,104
pixels/112,float,112
pixels/120,float,120